Species	midT	logNe	medPred	meanPred	hpdi025	hpdi975	hpdi25	hpdi75	seMean	seMedian	se025	se975	Model
Rangifer_tarandus_sibiricus	119463.633617474	5.50351562276437	5.1878306849239	5.19403385025903	4.65978437280754	5.72090651856484	4.98967610729746	5.32505077607165	0.16719109794407	0.10774285329861	7.19340050117284e-12	0.554979409025541	Combined
Puma_concolor_dnaZoo	119639.462646545	4.81677315357167	4.73985446895496	4.73660606602941	4.27339619630157	5.1843235482453	4.5933762984103	4.90872611602621	0.0624672961097822	0.0291907869783613	7.63907728650599e-09	0.231697805368931	Human-only
Puma_concolor_dnaZoo	119639.462646545	4.81677315357167	4.17960105176993	4.17812467494625	3.49139697668172	4.85955785981063	3.94616803425515	4.41885114327814	0.532167350634701	0.406898958664783	2.91194217886602e-07	1.48162887688388	Climate-only
Puma_concolor_dnaZoo	119639.462646545	4.81677315357167	4.79029481623499	4.78518406772391	4.29629676743413	5.33111361827215	4.65374181967044	5.0062431606576	0.0732140930468577	0.0319838148577298	4.22698508829323e-09	0.268203108487093	Combined
Parahyaena_brunnea	119669.63880235	4.00144229347998	4.01555668841099	4.01579804215307	3.54197497797299	4.41141678305221	3.84822738006402	4.14607243263973	0.0521273813408561	0.0228339068487216	1.37068642494298e-07	0.197077990815601	Human-only
Parahyaena_brunnea	119669.63880235	4.00144229347998	3.81896409697472	3.81770189709312	3.1552185255474	4.50043762065835	3.62299157610955	4.08687600292966	0.152612931717468	0.0705390559191703	4.52355223671268e-10	0.57382545276241	Climate-only
Parahyaena_brunnea	119669.63880235	4.00144229347998	3.90945453324669	3.92101052911703	3.41744278857119	4.4537423405573	3.74441084444	4.10321330026252	0.0787075207868182	0.0349118510666884	4.6847482491154e-07	0.304691736203443	Combined
Capra_sibirica	119730.364034079	4.90931105569588	4.90532355259634	4.90799123457693	4.47517420975395	5.3580594126668	4.7499816300493	5.05161994776577	0.0537441727173039	0.0232720149381468	4.57092274408507e-08	0.200049661266601	Human-only
Capra_sibirica	119730.364034079	4.90931105569588	4.45327203185826	4.44737834217478	3.77084355420429	5.14921340583663	4.19428974191369	4.66808189473466	0.335629669468645	0.210373856424325	1.37954460840292e-09	1.07650095795015	Climate-only
Capra_sibirica	119730.364034079	4.90931105569588	4.948249641594	4.94013028231766	4.44527636775833	5.43179545881524	4.77675188563264	5.15214815735193	0.0734296039021956	0.0365188107529326	7.18480382253603e-08	0.254423775427285	Combined
Alces_alces_gigas	119740.877083631	4.25793367160787	4.29285874616286	4.28594622815894	3.81423848791385	4.74522198842029	4.18307387738028	4.4819912932583	0.0559626692977591	0.0250488927709918	3.96587369915442e-09	0.229541383724881	Human-only
Alces_alces_gigas	119740.877083631	4.25793367160787	3.86088135034103	3.86083442157875	3.17673474716672	4.53954116657412	3.61309607507365	4.07766725180423	0.278904072341453	0.167101678627347	6.59597670862137e-08	0.938744134896662	Climate-only
Alces_alces_gigas	119740.877083631	4.25793367160787	4.1464078185586	4.15454609785183	3.62521941346115	4.66956678006775	3.90866101661839	4.2789154414434	0.0854467323157691	0.0396536896329171	4.92848440450536e-07	0.324293834733725	Combined
